PRN,DO,PD,RX,TOW,CP,EC,LC,PC,PIP,PQP,TCD,CN0,Output
26,-1604.415564,25077078.04,174134.74,174134.6564,150686.6108,144572.3281,164237.6719,173516.0156,-172501.0156,18740.49805,-1570.256226,49.15181351,0
7,3670.747847,4073524.981,263429.1,263429.0864,-93352.18587,133020.1406,136807.7344,158899.1563,-158446.8438,-11980.71094,3654.90332,46.55817032,0
20,2144.433859,6059594.728,263715.76,263715.7398,-317230.7655,118241.8438,95528.59375,114252.3516,109960.3203,-31021.39844,2150.026367,40.15559387,0
27,3278.678535,3687842.142,263234.38,263234.3677,-119353.5323,134409.2969,116025.3203,141549.75,67597.16406,124366.2188,3295.291992,46.29403305,0
11,3249.4619363349,434617.309746129,491669.46,491669.458550273,-117807.131089348,161819.09,156342.28,173476.06,173463.52,2086.8943,3334.4705,48.482132,0
16,982.0810524,23343991.6,174192.46,174192.3821,-89630.032,119093.9297,115553.8828,133146.75,-133097.9063,3605.984863,982.7116089,46.7815094,2
30,4364.481944,6601350.44,263750.26,263750.238,-860324.0947,63559.82422,75203.21875,76655.27344,76193.21094,8403.916016,4342.260254,45.1287119,1
16,884.2503709,23336818.32,174232.92,174232.8422,-127351.5764,109317.9609,110826.0078,116706.2656,115723.0156,15117.43262,898.2962646,45.85956025,1
26,-1466.752063,-2393262.931,173656.42,173656.428,61042.27159,105722.1797,98522.66406,111635.0781,111276.4766,-8940.677734,-1396.453247,43.39188004,2
20,2133.182419,6096420.435,263625.86,263625.8397,-123710.1136,63131.91406,65353.98438,73987.22656,73630.35938,-7258.105469,2135.843262,39.33992386,0
6,1137.88156153923,-261651.837750936,491671.88,491671.880902,-103626.388570777,56256.215,62417.934,66443.422,64461.383,-16107.699,1501.7843,42.713467,2
26,-1372.428114,-2395778.91,173647.2,173647.208,47823.33536,96521.35156,100145.2813,117676.8984,117672.3594,1033.85022,-1434.797607,42.95366287,2
26,-2083.279191,5352389.101,262824.74,262824.7221,260881.3902,60774.92969,55433.82813,64735.85938,64363.76563,-6930.877441,-2095.087646,43.40815353,0
27,3282.086728,3675798.206,263253.66,263253.6477,-182630.9459,146840.75,166903.6875,173649.9375,173638.8906,1958.493286,3278.807373,47.58011246,0
16,-868.8631744,2621003.844,263610.42,263610.4113,28026.37067,111107.4453,103936.8359,114814.7344,114206.2109,-11805.31152,-870.5987549,45.97678375,0
27,3621.113555,3946318.408,262843.62,262843.6068,-537519.5866,71202.92969,75274.79688,88007.125,87024.375,-13115.3418,3622.518066,45.45438004,0
26,-1549.579678,25063979.85,174091.0,174090.9164,81861.56205,148929.0781,159474.3125,177018.7031,-176801.3906,8768.725586,-1513.668335,48.09220123,0
4,873.5707473,23386109.77,174173.74,174173.662,-64551.40455,159080.625,147786.2813,173025.5781,173005.3594,2645.169678,924.9137573,48.85291672,0
31,-2144.924415,909030.5597,173817.6,173817.597,116584.7639,97783.53906,87112.25781,101156.1953,98137.28125,24528.53906,-2124.944824,42.15844727,2
12,3439.48616445957,804733.021722216,491616.3,491616.2973157,-166819.167451977,120168.5,115874.56,135989.33,-135966.13,2511.8655,3530.6489,47.046059,0
31,-2148.232003,906875.3322,173812.32,173812.317,105261.7918,96742.05469,113477.8828,112536.0547,-111523.375,15063.21191,-2132.623291,41.80703354,2
12,3388.95115263262,792107.198951393,491635.66,491635.657357815,-233038.620473666,125196.94,143136.69,147546.02,147338.91,7815.0659,3491.8232,47.04155,0
9,1919.973126,2473808.285,263091.18,263091.1717,-75561.96872,80740.15625,87650.08594,96761.34375,95352.94531,-16449.13477,1918.164063,45.23069763,0
16,1929.987236,-3884227.467,173703.72,173703.733,-100432.9225,12504.55078,22885.5957,20317.88281,-13674.78125,-15027.19824,1881.104004,30.82141495,2
27,4557.128486,26724957.22,173967.2,173967.1109,-228883.8584,98236.29688,87780.04688,104602.7813,-104587.1563,1807.886475,4483.723145,43.75288773,0
9,1490.302889,2242091.417,263513.64,263513.6325,-177857.0449,135321.0625,135965.0625,147282.0781,-146961.9531,9705.49707,1633.923218,47.28667068,0
4,-869.6855966,2643047.222,263609.4,263609.3912,26506.8827,119985.3203,116145.4531,126776.7344,126654.2969,-5570.42334,-867.4659424,45.57671356,0
2,2577.88479391584,24748935.7646189,491953.04,491952.957446436,-93986.1532609273,141856.3,125856.98,138770.45,138237.86,-12146.34,2585.0613,46.677029,0
